car;table_id_eq;table_id_cmpl
BMW X3 M;;
BMW X4 M;;
BMW Z4;113;98
BMW 3 серии;;
BMW 7 серии;81;80
BMW X7;258;16
BMW 8 серии;;
BMW 2 серии Active Tourer;50;49
BMW X5;2;3
BMW 8 серии;;
BMW i3;110;95
BMW X4;20;13
BMW X2;11;9
BMW 4 серии;;
BMW i8;;
BMW 6 серии GT;73;72
BMW 2 серии;;
BMW M5;;94
BMW 5 серии;60;59
BMW X1;18;12
BMW X6;21;15
BMW 1 серии;52;51
BMW X3;19;14
BMW 3 серии Гран Туризмо;;44
BMW 4 серии;;
BMW 4 серии Гран Купе;57;55
BMW M2;;92
BMW X6 M;24;17
BMW M4;;93
BMW M3;;99
BMW 6 серии;;
BMW M6;;
BMW 5 серии Гран Туризмо;;
BMW 5 серии;60;59
BMW X5 M;;
